show_id,show_label,band_id,band_name,performer_name_raw,performer_name_clean,role_raw,role_clean,source_line
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-radiohead,Radiohead,Mario Giulione,Mario Giulione,vocals,vocals,298
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-radiohead,Radiohead,Allan Gilmour,Allan Gilmour,guitar,guitar,299
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-radiohead,Radiohead,Elyse Gasco,Elyse Gasco,bass,bass,300
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-radiohead,Radiohead,Jay Blumenstein,Jay Blumenstein,drums,drums,301
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-radiohead,Radiohead,Maya Gilmour,Maya Gilmour,drums,drums,302
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Jonathan Feist,Jonathan Feist,vocals,vocals,305
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Jordi Soldevila,Jordi Soldevila,guitar,guitar,306
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Christian Buchanan,Christian Buchanan,guitar,guitar,307
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Mathew Aisen,Mathew Aisen,guitar,guitar,308
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Sam Gyetvay,Sam Gyetvay,guitar,guitar,309
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Zander Smith,Zander Smith,bass,bass,310
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine,Rage Against The Machine,Benjamin Dumas-Boisvert,Benjamin Dumas-Boisvert,drums,drums,311
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Rick Collins,Rick Collins,vocals,vocals,326
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Tim Dougherty,Tim Dougherty,guitar,guitar,327
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Wayne Hemsworth,Wayne Hemsworth,guitar,guitar,328
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Bill Kreklewetz,Bill Kreklewetz,guitar,guitar,329
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Dominic Supino,Dominic Supino,guitar,guitar,330
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Darquis Rivard,Darquis Rivard,bass,bass,331
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Chris Kreklewetz,Chris Kreklewetz,keyboards,keyboards,332
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,The 50's - The Birth of Rock,Mark Charbonneau,Mark Charbonneau,drums,drums,333
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,The 60's - Female Vocalists,Saskia Gaucher,Saskia Gaucher,vocals,vocals,336
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,The 60's - Female Vocalists,Matt Aisen,Matt Aisen,guitar,guitar,337
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,The 60's - Female Vocalists,Samantha Backman,Samantha Backman,guitar,guitar,338
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,The 60's - Female Vocalists,Robin Kreklewetz,Robin Kreklewetz,guitar,guitar,339
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,The 60's - Female Vocalists,Zander Smith,Zander Smith,bass,bass,340
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,The 60's - Female Vocalists,Doug Stein,Doug Stein,drums,drums,341
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-the-british-invasion,The 60's - The British Invasion,Steve Herskovitz,Steve Herskovitz,vocals,vocals,344
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-the-british-invasion,The 60's - The British Invasion,Zander Brais,Zander Brais,guitar,guitar,345
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-the-british-invasion,The 60's - The British Invasion,Emma Durham,Emma Durham,guitar,guitar,346
