band_id,show_id,show_label,band_name_raw,band_name_clean,is_solo,source_line
lftg-20-2022-another-heart,lftg-20-2022,LFTG 20 (2022),Another Heart,Another Heart,no,1651
lftg-20-2022-the-mighty,lftg-20-2022,LFTG 20 (2022),The Mighty,The Mighty,no,1660
lftg-20-2022-the-wrong,lftg-20-2022,LFTG 20 (2022),The Wrong,The Wrong,no,1668
lftg-20-2022-the-daydreamers,lftg-20-2022,LFTG 20 (2022),The Daydreamers,The Daydreamers,no,1677
lftg-20-2022-sonic-shower,lftg-20-2022,LFTG 20 (2022),Sonic Shower,Sonic Shower,no,1685
lftg-20-2022-strictly-rhythm,lftg-20-2022,LFTG 20 (2022),Strictly Rhythm,Strictly Rhythm,no,1694
lftg-20-2022-sour-apples,lftg-20-2022,LFTG 20 (2022),Sour Apples,Sour Apples,no,1703
lftg-20-2022-crossfire-hurricane,lftg-20-2022,LFTG 20 (2022),Crossfire Hurricane,Crossfire Hurricane,no,1711
lftg-20-2022-electric-word,lftg-20-2022,LFTG 20 (2022),Electric Word,Electric Word,no,1720
lftg-21-2023-red-hot-chicken-nuggets,lftg-21-2023,LFTG 21 (2023),Red Hot Chicken Nuggets,Red Hot Chicken Nuggets,no,1738
lftg-21-2023-the-authentic-strings,lftg-21-2023,LFTG 21 (2023),The Authentic Strings,The Authentic Strings,no,1745
lftg-21-2023-the-broken-picks,lftg-21-2023,LFTG 21 (2023),The Broken Picks,The Broken Picks,no,1753
lftg-21-2023-the-sarcastics,lftg-21-2023,LFTG 21 (2023),The Sarcastics,The Sarcastics,no,1761
lftg-21-2023-freight-train,lftg-21-2023,LFTG 21 (2023),Freight Train,Freight Train,no,1768
lftg-21-2023-the-wrong,lftg-21-2023,LFTG 21 (2023),The Wrong,The Wrong,no,1777
lftg-21-2023-ribbons-of-euphoria,lftg-21-2023,LFTG 21 (2023),Ribbons Of Euphoria,Ribbons Of Euphoria,no,1786
lftg-21-2023-sonic-shower,lftg-21-2023,LFTG 21 (2023),Sonic Shower,Sonic Shower,no,1794
lftg-21-2023-sour-apples,lftg-21-2023,LFTG 21 (2023),Sour Apples,Sour Apples,no,1803
lftg-21-2023-crossfire-hurricane,lftg-21-2023,LFTG 21 (2023),Crossfire Hurricane,Crossfire Hurricane,no,1812
lftg-21-2023-electric-word,lftg-21-2023,LFTG 21 (2023),Electric Word,Electric Word,no,1821
lftg-22-2024-magnetic-field,lftg-22-2024,LFTG 22 (2024),Magnetic Field,Magnetic Field,no,1233
lftg-22-2024-red-hot-chicken-nuggets,lftg-22-2024,LFTG 22 (2024),Red Hot Chicken Nuggets,Red Hot Chicken Nuggets,no,1241
lftg-22-2024-the-easy-riders,lftg-22-2024,LFTG 22 (2024),The Easy Riders,The Easy Riders,no,1247
lftg-22-2024-the-messy-pearls,lftg-22-2024,LFTG 22 (2024),The Messy Pearls,The Messy Pearls,no,1254
lftg-22-2024-overworld,lftg-22-2024,LFTG 22 (2024),Overworld,Overworld,yes,1260
lftg-22-2024-the-sarcastics-featuring-wolf-and-sohn,lftg-22-2024,LFTG 22 (2024),The Sarcastics (featuring Wolf and Sohn),The Sarcastics (featuring Wolf and Sohn),no,1264
