show_id,show_label,band_id,song,url
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-crossfire-hurricane,Rocky Mountain Way by Joe Walsh,https://youtu.be/sLsXULflSMU?si=BHc0Ltz8qJu9Vaj7
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-t-c,Satan's Holiday by The Lancasters,https://youtu.be/vT6H3mlIHik?si=5JaKkIepIA5B3tPP
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-white-orchid,Sharp Dressed Man by ZZ Top,https://youtu.be/1_k3vGKvIjw?si=OM6jQyGdmWOKWd-0
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-another-heart,Zombie by The Cranberries,https://youtu.be/WMV_bHhJD6E?si=dWrqdReZTOSJ1U7e
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-the-mighty,We're Not Gonna Take It by Twisted Sister,https://youtu.be/UgJhslJupFQ?si=IEHkbEaIi8Mw5q-5
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-the-daydreamers,Happier Than Ever by Billie Eilish,https://youtu.be/xWihoae1gXc?si=657ZBNr5YaQgvURV
lftg-20-2022,LFTG 20 (2022),lftg-20-2022-strictly-rhythm,Where Is My Mind by The Pixies(Milky Chance version),https://youtu.be/hn-VqDn8BBw?si=3kulaMLyAo9xlgz3
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-red-hot-chicken-nuggets,Blitzkrieg Bop by The Ramones,https://youtu.be/rwEsbDtpEUY?si=2KtikJwIFLOK-xaH
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-the-authentic-strings,Night Of The Beast by The Prophets,https://youtu.be/crlYpwclTkw?si=vqTGP20Jp2le2eSg
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-the-broken-picks,505 by Arctic Monkeys,https://youtu.be/BBdpHcGGE1o?si=4ENi5GWxmu7UeWDv
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-the-sarcastics,Breathing Underwater by Metric,https://youtu.be/bOzca4TF_SM?si=RFtjMj3dE_rVU_XF
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-freight-train,In Bloom by Nirvana,https://youtu.be/DDvpXM83Jo4?si=2PCD88ji36G5ByRK
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-the-wrong,Territorial Pissings by Nirvana,https://youtu.be/S4UxVW7Eg-o?si=rLk9miUwRbNvIbeO
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-ribbons-of-euphoria,Waiting On The World To Change by John Mayor,https://youtu.be/GjfrGK4t8Ig?si=MrgnzcIf82o572Cg
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-sonic-shower,I See Red by Everyone Loves An Outlaw,https://youtu.be/7q866IRB2WY?si=9tCCTYyKdiNAOVcs
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-sour-apples,Kiss Me by Sixpence Non The Richer,https://youtu.be/WsLWYwOmtAI?si=BSWrbLU3ogkbopfA
